id,tour_id,sourceTourOptionName,isPrivateRequest,slug,maxPax,name,description,travelInclusions,diningInclusions,startLocationName,startLocationCountryCode,startLocationLongitude,startLocationLatitude,endLocationName,endLocationCountryCode,endLocationLongitude,endLocationLatitude,countries_visited,minChildPriceAge,maxChildPriceAge,created_at,updated_at
0044857c-35c9-45f4-97b8-75e7eb7e90f6,tour-50422032-fd11-4b38-9334-09b67d61270c,,0,,,Majestic Alaska,"A wild escape brings your dream of Alaska to life. When you’re not traversing Denali National Park's tundra or sailing past Humpback whales and icebergs on an Alaska cruise in Kenai Fjords National Park, you’ll find yourself panning for gold and riding a dome car on the Alaska Railroad.","Must-see Highlights
- Explore Valdez, Seward, Denali National Park and Kenai Fjords National Park
- Visit Anchorage, Fairbanks, Denali National Park, Valdez, Seward, Alaska Native Heritage Center, Wrangell St Elias Visitor Center, Valdez Museum, Musk Ox Farm, Alaska Wildlife Conservation Center
- View Historic Rika Roadhouse, Big Delta State Historical Park, Alaska Range, Wrangell St. Elias National Park, Mt. Denali
- Scenic Drive along the Scenic Seward Byway
- Scenic Cruise through Prince William Sound, Kenai Fjords National Park
- Iconic Train journey through Alaska's wilderness aboard the Alaska Railroad

Be My Guest
- Fairbanks: To conclude your day, enjoy a special visit to the home of Dave Monson, a local Dog Mushing celebrity to learn about the sport of Dog Mushing in Alaska. Join him and his dogs for a Be My Guest dinner experience.

Dive Into Culture
- Denali National Park: Board the Deluxe Motorcoach and head to Denali National Park. Once there late this afternoon they'll experience a “Welcome to SubArctic” Presentation by a Local Specialist to learn about the Flora and Fauna of Denali National Park.
- Fairbanks: Pan for gold with Fairbanks’ own Gold Daughters and learn the process of panning for gold as well as ice age fossils and cool minerals.

MAKE TRAVEL MATTER®
- Anchorage: Make Travel Matter on a visit of the Alaska Native Heritage Center and learn about the culture and heritage of the Indigenous people of Alaska.
- Gulf of Alaska: Enhance your visit to The Alaska Native Heritage Center, a living cultural center that promotes active observance of Alaska Native culture and traditions, on an Indigenous Plants Tour. This immersive educational program promotes understanding of diverse Cultures. Uncover the indigenous plant life encircling Lake Tiulana and gain knowledge about the nutritional and health benefits these plants provide. You’ll leave with a heightened awareness of the deep connection we share with the natural world. This experience supports Global Goal 11: preserves local traditions, protects natural and built heritage sites and promotes cultural vibrancy.
- Valdez: Take a guided tour of a Musk Ox Farm and learn how this non-profit organization promotes sustainable agriculture.
- Anchorage: The Alaska Wildlife Conservation Center is a wildlife rehabilitation center where a local guide teaches you about the animals here.","Whats Included
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- All transport and transfers shown
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- Optional Experiences and free time
- On occasion, hotels of similar standard and location may be utilized.

Whats Included
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- All transport and transfers shown
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- Optional Experiences and free time
- On occasion, hotels of similar standard and location may be utilized.

Iconic Experience
- Denali National Park: Travel aboard a Dome Railcar on the Alaska Railroad to the Golden Heart City of Fairbanks. Enjoy a spectacular journey over swift-rushing streams, towards Denali National Park and Preserve.
- Fairbanks: Enjoy a visit to Big Delta State Historical Park where you can explore the rich history of Alaska.
- Valdez: Discover the rich history and heritage as you visit the Valdez Museum.
- Valdez: Enjoy a cruise across Prince William Sound where you will have the chance to spot sea lions, otters and seals.
- Seward: In Seward, board a day boat and cruise into Kenai Fjords National Park. Lunch is included on board as you watch for playful sea critters and spectacular glaciers.

Dining Summary
- 1 Welcome Reception (WR)
- 9 Breakfast (B)
- 3 Dinner (D)
- 2 Lunch (L)",Anchorage,,,,Anchorage,,,,United States,5,17,2023-09-25 11:50:23,2023-09-25 11:50:23
0085cc11-4ee8-4e13-9c07-0e9280376a55,tour-b75b1cb9-82b6-4626-aa9d-0de564473644,,0,,,South America Landscapes with Brazilian Amazon,You’ll discover why so many fall in love with this South America tour as you journey from snow-capped volcanoes and chardonnay vineyards to buzzing Buenos Aires and Rio de Janeiro. Feel like a true explorer as you keep your eyes peeled in the Amazon jungle and marvel at the majestic Amazon River.,"Sightseeing Highlights
- Discover how locals prepare for Rio de Janeiro's Carnival week
- Explore Santiago, Puerto Varas, San Carlos de Bariloche, Nahuel Huapi National Park, Buenos Aires, Iguassu Falls and Rio de Janeiro with a Local Specialist
- Visit the Christ the Redeemer statue, Chile’s wine country, Sugarloaf Mountain and Corcovado
- View Petrohue River, Devil's Throat Falls
- Scenic Cruise in Chile's Lake Region and on Lake Nahuel Huapi in Argentina
- Connect with Locals Visit home to Local Amazonians (Cablocos) with an opportunity for piranha fishing.
- Connect with Locals Dine at the home of a local family in the bohemian neighbourhood of Palermo Soho with its European-style homes and hip attitude.
- Connect with Locals Visit a winery in Chile's Casablanca valley and meet the winemakers for a personalised experience including a tasting.
- Dive into Culture Experience the beauty of the Tango and learn about its traditions.
- Dive into Culture Enjoy a traditional Brazilian BBQ restaurant this evening and learn how to mix the perfect caipirinha.
- Dive Into Culture Visit a Samba school to see and experience this symbol of Brazil.
- Dive Into Culture Meet master chocolatiers, Julio Fernandez and George Soriano, to learn about the history of chocolate and how it is produced at this small workshop.
- MAKE TRAVEL MATTER® Visit Monkey Forest, a rehabilitation center and wildlife refuge.","Dining Highlights
- 1 Be My Guest
- 1 Farewell Dinner
- 1 Regional Dinner
- 16 Breakfasts
- 4 Dinners
- 4 Lunches

First class travel Highlights
- A Trafalgar bonus all Intra-Air Flights: Santiago to Puerto Montt, Bariloche to Buenos Aires, Buenos Aires to Iguassu Falls and Iguassu Falls to Rio de Janeiro, including porter service at all airports
- All hotel tips, charges and local taxes
- All porterage and restaurant gratuities
- An expert Travel Director and professional Driver
- Audio headsets for flexible sightseeing
- Breakfast daily and up to half of your evening meals
- Cherry-picked hotels, all tried and trusted
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- Must-see sightseeing and surprise extras
- Optional Experiences and free time",Santiago (Chile),,,,Manaus,,,,"Chile, Argentina, Brazil",5,17,2023-09-25 11:50:27,2023-09-25 11:50:27
00a948ee-d3f5-4709-a148-b0b06b656227,tour-4c051a6b-1146-4690-a6c3-0028da870307,,0,,,Highlights of Peru,"You’re in for an adventure on this tour of Peru exploring Inca treasures, wild landscapes, and ancient legends, all topped off with the opportunity to sample classic Peruvian pisco sour. Step back in time at Machu Picchu, get lost in the heady buzz of a local market in Lima and discover textile art from a Quechua scholar.","Iconic Experience
- Lima: Take in the highlights of Lima, the 'City of the Kings,' including a panoramic view of the ancient districts. Join a local specialist for a visit to the UNESCO-listed Historic Center. Learn how before it was destroyed by earthquakes in the mid-18th century, observing how the historic buildings display a collaboration between local craftspeople and others from the Old World. Then drive along the coastline as you learn more about the fascinating history of Peru's capital city.
- Lima: Join a local specialist for a tour of the Rafael Larco Herrera Museum which houses the largest private collection of pre-Columbian Peruvian art in the world. You'll also explore the extensive collection of Peruvian gold and silver from ancient times. Learn the history of the museum founded by Rafael Larco on July 28th, 1926 in Trujillo followed by in 1958 when Larco moved his collection to Lima to a unique colonial residence built on top of a VIII century pyramid.

Dive Into Culture
- Lima: You’re treated to a lesson on how to pour the perfect Pisco sour, Peru’s native drink. In the good hands of professional chef Ignacio, the results are sure to be delicious. Ignacio will explain the history of Pisco – a type pf wine, the typical Pisco Sour, and an internationally less known but locally more popular drink called “Chilcano”. This cocktail of pisco, lime juice, Ginger ale and bitters is a refreshing twist on the pisco sour that will have you eager to share the recipe with your friends.","Whats Included
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- A Trafalgar Bonus all Intra-Air Flights: Lima to Cusco and Cusco to Lima, including porter service at all airports.
- Tickets for a ride aboard the Vistadome train to Machu Picchu
- Optional Experiences and free time
- On occasion, hotels of similar standard and location may be utilized.

Must-see Highlights
- Explore Lima and Cusco with a Local Specialist and try Peruvian food during a cooking demonstration
- Visit the ruins at Ollantaytambo, two visits to the 15th century fortress of Machu Picchu, historic Sacsayhuaman, the Larco Museum in Lima, Manos de la Comunidad Weaving Center and experience a traditional ""lindaje""
- Scenic Drive through the Sacred Valley and in Peru's Andean highlands
- Scenic Train Ride to Machu Picchu aboard the Vistadome train

Be My Guest
- Lima: Visit a local market with Chef Ignacio and enjoy a special lunch at his cooking school.

Dining Summary
- 1 Welcome Reception (WR)
- 7 Breakfast (B)
- 1 Be My Guest (BMG)
- 1 Lunch (L)
- 2 Dinner (D)
- 1 Farewell Dinner (FD)

MAKE TRAVEL MATTER®
- Cusco: Visit Manos de la Comunidad weaving center to learn about artistic traditions and the four Andean camels: Llamas, Alpacas, Vicuñas and Guanacos. Then step inside a private area to discover one of the traditions of the Sacred Valley called “lindaje”. This typical tradition of several communities reinforces the borders of each community and involves several customs, one of which is man dancing in typical women’s clothes. Then enjoy an exclusive lunch at a beautiful outdoor space near the Weaving center.

Whats Included
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- A Trafalgar Bonus all Intra-Air Flights: Lima to Cusco and Cusco to Lima, including porter service at all airports.
- Tickets for a ride aboard the Vistadome train to Machu Picchu
- Optional Experiences and free time
- On occasion, hotels of similar standard and location may be utilized.",Lima,PE,-76.837357,-12.103224,Lima,PE,-76.837357,-12.103224,Peru,5,17,2023-09-25 11:50:21,2023-09-25 11:50:21
00c60fd3-9854-4bc2-a95f-20b9fe86ce97,tour-b652f8ee-49ae-476a-b247-f617d4d64d19,,0,,,Wonders of Patagonia with Easter Island,"You’ll feel like a local travelling from flamboyant Buenos Aires to the land of giants, the rugged Andes, and glacial lakes on this astounding Patagonia tour. Dine with a Buenos Aires family and let loose your inner Patagonian cowboy in Torres Del Paine. You’ll uncover the secrets of Easter Island’s famous Moai statues.","Sightseeing Highlights
- Explore Buenos Aires and Ushuaia with a Local Specialist
- Visit Tierra del Fuego National Park, Los Glaciares National Park, Torres del Paine National Park and Bernardo O'Higgins National Park
- View the Balmaceda Glacier and Serrano Glacier
- Scenic Cruise upon a boat ride up the Rio Serrano toward the Serrano Glacier
- Scenic Drive from El Calafate to Torres del Paine National Park and from Puerto Natales to Punta Arenas
- Connect with Locals Dine at the home of a local family in the bohemian neighbourhood of Palermo Soho with its European-style homes and hip attitude.
- Dive into Culture Tour Ushuaia including a visit to the Museo Maritimo y Del Presidio, where you'll explore the history of the Prison at the End of the World and learn about the famous prisoners who were incarcerated there.
- Connect with Locals Meet some of the local cowboys at this historic ranch and learn about the traditions of the Gaucho culture.
- Dive into Culture Visit Milodon Cave, where evidence of a giant prehistoric ground sloth was found by German Explorer Herman Eberhard. There is also evidence of prehistoric human habitation within Cueva del Milodón, dating back as early as 6000 BC.
- Stays with Stories Enjoy modern accommodation in perfect harmony with the natural environment of Puerto Natales.","First class travel Highlights
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- A Trafalgar bonus all Intra-Air Flights: Buenos Aires - Ushuaia - El Cafate, Punta Arenas - Santiago
- Optional Experiences and free time

Dining Highlights
- 1 Welcome Reception
- 12 Breakfasts
- 1 Be My Guest
- 4 Dinners
- 5 Lunches
- 1 Farewell Dinner",Buenos Aires,AR,-58.610691,-34.714705,Easter Island,CL,-109.351021,-27.124035,"Argentina, Chile",5,17,2023-09-25 11:50:27,2023-09-25 11:50:27
01cb2392-0dcf-48b8-807d-9482142a48be,tour-dae273c5-4cd5-4281-b601-33246ca6edf2,,0,,,"Israel Discovery - Small Group, Winter","See some of the world's most sacred sites during this 9-day guided tour of Israel. Travel to Tel Aviv, where you’ll see the Habima National Theater, Rabin Square and Carmel Market. Walk through the ancient coastal city of Caesarea and the ruins of a once-raucous Roman amphitheater. Drive seaside roads to Tiberias and break challah during traditional multi-course dinner celebrating Shabbat, a day of rest. See Mount Beatitude, where Jesus is said to have preached the Sermon on the Mount — then journey to the Jordan Valley, where you can float in the buoyant waters of the salty Dead Sea. Traverse the cobbled alleyways of Jerusalem to the city’s most sacred monument, the Wailing Wall, and visit a Holocaust memorial honoring those who died in World War II.",,,Tel Aviv,IL,34.817608,32.077214,Tel Aviv,IL,34.817608,32.077214,Israel,5,17,2023-09-25 11:50:23,2023-09-25 11:50:23
01e7cd87-1f07-4c59-ada9-256541da5846,tour-b5965924-4ca2-4224-be27-144a6dec0874,,0,,,Sicily in Depth - Classic Group,"See every slice of Sicily during this 8-day guided tour. Take off to Paradise Quarry in Syracuse with a Local Expert, who will show you its Ear of Dionysius, an ear-shaped limestone grotto: call out to your fellow travelers here, and your voice may echo as many as 16 times. Visit the Palermo Cathedral, a blend of architecture styles that combine for a stunning sight. Travel to the quaint fishing town of Cefalú and stroll to the Porta Marina for a picture-perfect view of the harbor. In Taormina, perched above the Ionian Sea, join a Local Expert at the city’s cliffside Greek theater, from which you can see Mount Etna, the island’s active stratovolcano.",,,Catania,IT,14.829203,37.512132,Catania,IT,14.829203,37.512132,Italy,5,17,2023-09-25 11:50:25,2023-09-25 11:50:25
021df630-91d6-4f88-8620-97c21542cb1a,tour-4516d5ce-1eb4-4700-bfa5-1bad4976c2c4,,0,,,Northern Capitals - Small Group,"Experience the city of Berlin from both sides of the now crumbling wall, as your Local Expert guides you through the history of this once divided city, and the stories behind Berlin icons like the Brandenburg Gate, the Tiergarten and the Reichstag. Across the North Sea in Denmark, explore the enchanting Tivoli Gardens and absorb the opulence contained within Christiansborg Palace—the historic seat of Danish power. Journeying onwards into Finland, the famed and fashionable Helsinki food market is home to an abundance of aromatic stalls, serving up local delicacies, like smoked reindeer and licorice.","Additional Included Highlights
- Our highly-skilled Travel Director will ensure your journey is seamless, serving as your expert guide, consummate organiser, and friend overseas.
- Personal radio headsets give you the freedom to wander during visits to famous highlights, without missing any of your Local Expert's fascinating commentary.
- We carry your bags for you and promptly deliver them to your hotel door.
- Hotel and restaurant tips are included - you'll never have to worry about how much to give, nor search for foreign currency. We also include all taxes and porterage charges at hotels.
- From time to time, your Travel Director will delight you with an Insight Flourish, which is a local specialty representing the destination.
- One-way Sapsan train journey from St Petersburg to Moscow is included.
- Cruise in high-class cabins with sea views.
- Complimentary transfers from Berlin Tegel Airport are available at scheduled times, on arrival day. Complimentary transfers to Moscow's Sheremetyevo and Domodedovo airports are available at scheduled times, on departure day. If your flights are outside these times or you have booked additional nights accommodation with Insight Vacations, you may purchase transfers or make your own way.

Insight Experiences
- Vilnius: Visit Užupis, a quirky neighborhood of Vilnius, with a member of its government. Learn how a small community of artists created this self-proclaimed republic in order to revitalize post-communist Vilnius.

Well-being
- Enjoy the comfort of Insight's luxurious, air-conditioned, 40-seat coach with double the standard legroom and onboard washroom. Our customized luxury coaches are sanitized before the start of your tour and are maintained to very high standards. Physical distancing measures have been implemented on our customized luxury coaches.
- Hand sanitizer is freely available on board for you to use throughout the day.

Choice Highlights
- Tallinn: Walk through the fairytale Old Town with your Local Expert and hear about Estonian arts and crafts.
- Tallinn: Join your Local Expert for a scenic walking tour of the city with panoramic views and a visit to the Town Hall Square.

Additional Included Highlights
- Personal radio headsets give you the freedom to wander during visits to famous highlights, without missing any of your Local Expert's fascinating commentary.
- Hotel and restaurant tips are included - you'll never have to worry about how much to give, nor search for foreign currency. We also include all taxes and porterage charges at hotels.
- We carry your bags for you and promptly deliver them to your hotel door.
- From time to time, your Travel Director will delight you with an Insight Flourish, which is a local specialty representing the destination.
- Stay connected with friends and family with our complimentary coach and hotel Wi-Fi (where available).
- If your arrival and/or departure flights are as per the itinerary start and end dates, then transfers are available at scheduled times. If your flights are outside these times, or you have booked additional nights accommodation with Insight Vacations, you may purchase transfers or make your own way from/to the airport.
- Cruise in high-class cabins with sea views.
- Complimentary transfers from Berlin Tegel Airport are available at scheduled times, on arrival day. Complimentary transfers to Moscow's Sheremetyevo and Domodedovo airports are available at scheduled times, on departure day. If your flights are outside these times or you have booked additional nights accommodation with Insight Vacations, you may purchase transfers or make your own way.

Top Rated Highlights
- Berlin: You Local Expert provides a tour of this vibrant city. Drive along the Ku'Damm, passing the Kaiser Wilhelm Memorial Church and through Tiergarten to the Reichstag building. See the Brandenburg Gate, State Opera House and visit Alexanderplatz.
- Gedser: Cross the Baltic Sea from Germany to Denmark.
- Copenhagen: Make the most of the long summer nights at the glittering Tivoli Gardens, the world-famous entertainment park, full of fantasy, fun and charm.
- Copenhagen: With a Local Expert, witness the regal interior of Christiansborg Palace, with its stunning tapestries, furnishings and decor.
- Copenhagen: With your Local Expert, view Christiansborg Palace and the cathedral where the Crown Prince of Denmark married Princess Mary. You'll also see Rosenborg Castle, Amalienborg Palace, the Renaissance Stock Exchange and the unusual Rundertaarn, which is the oldest functioning Observatory in Europe.
- Elsinore: See the Kronborg Castle, referred to as the home of Hamlet.
- Stockholm: With a Local Expert, step inside the City Hall where the fabulous Gyllene salen, the Golden Hall is covered by 18 million gilded mosaic tiles. You'll also see the Blå hallen, the Blue Hall, where the Nobel Prize banquets are held.
- Stockholm: With your Local Expert, visit Gamla Stan to see the cathedral where Swedish kings have been coronated and wander the narrow streets of the Old Town.
- Helsinki: Admire the beautiful views from your high-class, sea-view cabin as your cruise through the largest archipelago in the world, from Stockholm to Helsinki.
- Tallinn: Walk through the fairytale Old Town with your Local Expert and hear about Estonian arts and crafts.
- Tallinn: Join your Local Expert for a scenic walking tour of the city with panoramic views and a visit to the Town Hall Square.
- Riga: Sightseeing of Riga's Old Town with a Local Expert includes a visit to the Domkirk and seeing the city walls, the House of the Three Brothers and the castle of the Livonian Knights.
- Warsaw: Your Local Expert will show you the city's highlights. See the Old Town, Palace of Culture and visit the Chopin Memorial in the Lazienki Park before paying your respects at the Ghetto Heroes Memorial.","Dining Summary
- 5 Dinner with Wine (DW)
- 13 Breakfast (B)

Authentic Dining
- Helsinki: Wander through the aromatic stalls of a traditional food market with your Local Expert and sample local produce, like liquorice or smoked reindeer.
- Vilnius: Your Travel Director offers you a varied selection of charming restaurants on your Dine-Around Evening, a culinary experience not to be missed.
- Warsaw: The Polish capital is currently enjoying a culinary renaissance - find out what the buzz is all about during your end-of-tour Celebration Dinner with wine at a favorite restaurant.

Make Travel Matter
- Berlin: Savor the warm atmosphere of your delicious Welcome Dinner at Kreuzberger Himmel. This popular local restaurant actively supports refugees’ integration into German society, providing apprenticeships.
- Helsinki: Venture into the lush Finnish countryside and visit Bosgård Organic Farm. Learn about their sustainable practices and try some authentic produce from the farm.",Berlin,DE,13.236281,52.436959,Warsaw,PL,21.068046,52.230454,"Finland, Poland, Estonia, Sweden, Lithuania, Denmark, Latvia, Germany",5,17,2023-09-25 11:50:26,2023-09-25 11:50:26
024d5cdd-d784-4f75-a58f-e1096e45bbb4,tour-cac768f1-c20d-4290-8d3e-135273605a22,,0,,,Highlights of France and Barcelona with Madrid Extension,"One of our most popular France and Spain trips, this jam-packed journey from Paris to Barcelona is a feast for every sense, from lunch with locals and elegant châteaux in the Loire Valley, to the buzz of Avignon’s Place de l’Horloge and the irresistible French Riviera.","Iconic Experience
- Paris: Explore the iconic sights and streets of Paris on an orientation drive this evening.
- Paris: Join a Local Specialist to discover the hidden squares and secret lanes of Paris.
- Chateau Chenonceau: Visit Château de Chenonceau or commonly known as 'Ladies Castle' which got its name from the many women who influenced its construction.
- Chartres: Bask in the beautiful religious architecture from the 13th century as you explore the town of Chartres.
- Lyon: Join a Local Specialist for a sightseeing tour through Lyon's historic center. Ascend Fourvière hill for panoramic views of of the city below.
- Avignon: View the Pont d'Avignon and walk the medieval narrow streets of the Old Town to the Palais des Papes.
- Nice: Enjoy exploring the beautiful coastal city of Nice on the French Riviera.
- Monaco City: See the cathedral where Prince Rainier and Princess Grace were married.
- Carcassonne: Explore the fortified city of Carcassonne with a Local Specialist.
- Barcelona: With your Local Specialist, see Las Ramblas and the elegant Passeig de Gràcia to take in some of the city's finest Modernist architecture. Journey past the beautiful façades of the Eixample district to see Gaudi's extraordinary masterpiece, the mesmerizing Sagrada Família.

Dive Into Culture
- Figueres: Visit the Dalí Theater-Museum, considered Salvador Dalí's last great work offering visitors real insight into his captivating world.

Must-see Highlights
- Explore Paris, Lyon, Carcassonne and Barcelona with a Local Specialist
- Discover Avignon, Nice, Monaco and Arles
- Visit Saint-Sulpice Church in Paris, Château de Chenonceau in the Loire Valley and the Dalí Theater and Museum in Figueres
- View Notre Dame Cathedral and the Eiffel Tower in Paris, Chartres Cathedral, Château de Chambord, the Popes' Palace of Avignon, the Promenade des Anglais and Place Masséna in Nice, Monaco's Royal Palace and Cathedral, the Roman Amphitheater of Arles and the La Sagrada Família and Columbus Monument in Barcelona
- Scenic Drive through the Loire Valley","Whats Included
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- Optional Experiences and free time
- High-speed train from Barcelona to Madrid
- On occasion, hotels of similar standard and location may be utilized.

Be My Guest
- Villandry: Return to 17th-century France and join the de Montferrier family on their farm near the famous Château de Villandry for a traditional three-course Tourangelle Be My Guest dinner paired with local wines.

Dining Summary
- 1 Welcome Reception (WR)
- 11 Breakfast (B)
- 4 Dinner (D)

Whats Included
- An expert Travel Director and professional Driver
- Cherry-picked hotels, all tried and trusted
- All porterage and restaurant gratuities
- All hotel tips, charges and local taxes
- Breakfast daily and up to half of your evening meals
- Must-see sightseeing and surprise extras
- Audio headsets for flexible sightseeing
- Luxury air-conditioned coach with Wi-Fi in most countries or alternative transportation (such as rail journeys)
- Optional Experiences and free time
- High-speed train from Barcelona to Madrid
- On occasion, hotels of similar standard and location may be utilized.",Paris,FR,2.519269,48.856533,Madrid,ES,-3.659838,40.437177,"France, Spain, Monaco",5,17,2023-09-25 11:50:20,2023-09-25 11:50:20
025d9222-6187-4811-b387-83673acc2ff9,tour-40e7da5a-e1e2-41f1-9eb9-40e690fdb91b,,0,,,"Christmas Markets of Austria & Bavaria - Small Group, Winter","Journey through the snowcapped peaks of the Austrian Alps on this grand tour of Vienna’s Schönbrunn Palace, Salzburg’s 500-year-old Christmas Market and Munich’s six-story tall Christmas tree. Warm up with a mug or two of Glühwein at the Innsbruck Christmas Market before indulging in an exclusive Insight Choice, taking a horse and carriage ride through the romantic streets of the Old Town or a tour of the world of Swarovski Crystal. At the Salzburg Market Tasting experience, meet with a local market stallholder for an exclusive sampling of gingerbread, washed down with a glass of mulled wine. In Neuschwanstein, follow in Walt Disney’s footsteps on a tour of the fairytale-like castle that reputedly inspired him, complete with extravagant decorations and breathtaking views.",,,Vienna,AT,16.389599,48.200644,Munich,DE,11.595187,48.180699,"Austria, Germany",5,17,2023-09-25 11:50:23,2023-09-25 11:50:23
0281139d-7b31-4583-88ce-f484aad721bb,tour-d92ef277-a94e-4f0d-b663-d77e46ec814f,,0,,,"European Rhapsody - Start London, Classic Group","Experience the finest Europe has to offer as you take to the stage with Viennese Waltz dance lessons in Vienna, lose yourself on the Romantic Road in Rothenburg and satisfy your appetite in Hungary with a fine dining dinner cruise in Budapest. Led by local experts, your experience will rival the aristocrats of yesteryear in the famed Carinthian Lake District. After checking in at your exclusive, private boat access hotel, dinner is served at La Fenice before twilight night caps at Café Florian—the premier cocktail bar in Venice. Sample a little pomp and circumstance with the Bavarian grandeur of Germany's Würzburg Residenz and in Vienna, tread in the footsteps of your local Travel Director with a chance to take a private tour of Maria Theresa's awesome Schönbrunn Palace.",,,London,GB,-0.107195,51.512853,Venice,IT,12.215414,45.463402,"Germany, Czech Republic, Italy, Netherlands, Austria, Hungary, United Kingdom",5,17,2023-09-25 11:50:21,2023-09-25 11:50:21
