id,productType,source,name,brand,brandName,brandCode,slug,depositAmount,activityLevel,reviewsRating,reviewsTotal,reviewsSource,lowestOptionRoomType,lowestOptionPrice,lowestOptionFullPrice,fkSeasonId,fkTourOptionId,created_at,updated_at
tour-00bfa641-58d2-40cc-a818-0796b344dd19,connection_tour,ttc,Ultimate Ireland,luxurygold,Luxury Gold,luxurygold,ultimate-ireland,500.0,,0.0,0,luxuryescapes,twin,7325.0,7325.0,f66abe10-362c-4bec-96c2-72658a4b3154,eb1e3c5a-595a-4fc1-b402-7a2df91221e9,2023-09-25 11:50:24,2023-09-25 11:50:24
tour-01ad08bd-8b08-4d54-a46e-f515d491f9af,connection_tour,ttc,Country Roads of Southern Italy & Sicily,insightvacations,Insight Vacations,insightvacations,country-roads-of-southern-italy-and-sicily,500.0,,0.0,0,luxuryescapes,twin,5197.0,5197.0,68e465ce-0c29-44b1-aaa2-8855b3e82607,a85ecb2e-cb2b-48f0-a66b-1ec8e491d73e,2023-09-25 11:50:27,2023-09-25 11:50:27
tour-0364e31f-a6f9-413b-8f2e-cd2e264eb3ee,connection_tour,ttc,Canada's Rockies,trafalgar,Trafalgar,trafalgar,canadas-rockies,500.0,,10.0,2,le_tour_operator,twin,2565.0,2850.0,560cf11f-4bf9-4f07-a16a-e2bbab01314f,7f1521c7-4bc3-4555-b447-1a9823d29b16,2023-09-25 11:50:25,2023-09-25 11:50:25
tour-03fb1d9a-ab44-4e04-9c7e-6589adeb6f1a,connection_tour,ttc,Treasures of Spain and Portugal,trafalgar,Trafalgar,trafalgar,treasures-of-spain-and-portugal,500.0,,10.0,2,le_tour_operator,twin,3397.5,3775.0,beede9fc-8665-48b8-8e41-afa775c2261b,06f1066b-142e-435e-b9ec-a2066923809f,2023-09-25 11:50:27,2023-09-25 11:50:27
tour-045e09d3-ad22-4bc9-ab2b-5849b8e781d0,connection_tour,ttc,Country Roads of Northern Italy,insightvacations,Insight Vacations,insightvacations,country-roads-of-northern-italy,500.0,,0.0,0,luxuryescapes,twin,3105.0,3450.0,821fcfd7-430f-4900-808b-fd6b071700e2,9e4ffccb-92e2-464e-895b-ca1d2ca34593,2023-09-25 11:50:25,2023-09-25 11:50:25
tour-04ede99a-7368-491c-8e36-1d88f54490f0,direct_tour,salesforce,"Norway & Sweden 2024 Small-Group Summer Tour with Guided City Tours, Glass Cabin Stay & Iconic Overnight Train Journeys",luxuryescapes,Luxury Escapes Tours,luxuryescapes,norway-and-sweden-2024-small-group-summer-tour-with-guided-city-tours-glass-cabin-stay-and-iconic-overnight-train-journeys,0.2,moderate,8.5,2,le_tour_operator,twin,4799.4,4799.4,c233af4b-e2ff-4e1e-9ca2-4e52880dca21,c6fc0298-3991-48d2-b54e-eefedd6167fc,2023-09-25 11:50:19,2023-09-25 11:50:19
tour-057bb476-e790-45dd-a0fb-d3d42e49e2a5,connection_tour,ttc,Victoria Falls Experience,trafalgar,Trafalgar,trafalgar,victoria-falls-experience,500.0,,10.0,2,le_tour_operator,twin,1976.25,2325.0,1c31c6e3-7efd-4992-a68e-6d6a5f3dce54,d2e07c92-3e5b-4c6f-8add-6aa7fbed24e8,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-059c78b3-aa0c-47e8-8d52-63eed770f732,connection_tour,ttc,Colours of Sicily,trafalgar,Trafalgar,trafalgar,colours-of-sicily,500.0,relaxed,10.0,2,le_tour_operator,twin,2419.2,2688.0,b68092c1-3c2e-41f7-8dc8-0bf892c8bd01,5ae1cfa2-d992-4002-bb30-74678efc963c,2023-09-25 11:50:22,2023-09-25 11:50:22
tour-05e4c113-fb12-41eb-bc3d-ef25ca97fb6a,connection_tour,ttc,Imperial Europe,trafalgar,Trafalgar,trafalgar,imperial-europe,500.0,,10.0,2,le_tour_operator,twin,1818.9,2021.0,a3c3974c-b839-4c1d-a017-61df64dd861a,133cedd0-c276-4ed6-814d-7e27cef83f8c,2023-09-25 11:50:24,2023-09-25 11:50:24
tour-062fe587-4e6b-4d91-b412-aefa185a6393,connection_tour,ttc,London and Paris Explorer,trafalgar,Trafalgar,trafalgar,london-and-paris-explorer,500.0,,10.0,2,le_tour_operator,twin,2227.5,2475.0,bad0f2a8-b6bc-4c43-9693-a721421ca72d,74b50d12-d9ab-4342-8fdd-91f6f6dee7f7,2023-09-25 11:50:25,2023-09-25 11:50:25
